College Name,Contact no,Email,Website,Address
"Tilak Maharashtra Vidyapeeth Address & Location Map, Pune","+91 20 24403000, 24261856, 24264699",registrar@tmv.edu.in,http://www.tmv.edu.in/,"Tilak Maharashtra Vidyapeeth Vidyapeeth Bhavan, Gultekadi, Pune 411 037"
"DIT University Contact Number, Address & Location Map, Dehradun","+91-9639001954, +91-790078888",admissions@dituniversity.edu.in,http://www.dituniversity.edu.in,"Mussoorie-Diversion Road, Village Makkawala, Dehradun, Uttarakhand-248009, India"
"IIT Kharagpur Contact Number, Address & Location Map, Kharagpur",+91-3222-282101,chairjee@adm.iitkgp.ernet.in,http://www.iitkgp.ac.in/,"Indian Institute of Technology KharagpurKharagpur West Bengal, India- 721302"
"BITS Pilani-K K Birla Goa Campus Contact Number, Address & Location Map, Goa","+91-832-2580208, +91-832-2580239",webmaster@bits-goa.ac.in,http://universe.bits-pilani.ac.in/Goa/index.aspx,"Birla Institute of Technology & Science, Pilani K. K. Birla Goa Campus Zuari Nagar, Goa - 403726"
"IIT Delhi Contact Number, Address & Location Map, Delhi",+91-11-26597135,webmaster@admin.iitd.ac.in,http://www.iitd.ac.in,"Indian Institute of Technology DelhiHauz Khas, New Delhi-110 016, INDIA"
"IIT Madras Contact Number, Address & Location Map, Chennai",+91-44-22578035,drcourses@iitm.ac.in,https://www.iitm.ac.in,"Beside Adyar Cancer Institute, Opposite to C.L.R.I, Sardar Patel Road, Adyar, Chennai, Tamil Nadu 600036"
"IIT Kanpur Contact Number, Address & Location Map, Kanpur","+91-512-2597288,+91-512-2597200",registrar@iitk.ac.in,http://www.iitk.ac.in,Kalyanpur Kanpur-208016 INDIA
"IISC Bangalore Contact Number, Address & Location Map, Bengaluru",08023600757,regr@admin.iisc.ernet.in,http://www.iisc.ernet.in/,"The Registrar, Indian Institute of Science, Bangalore 560 012, INDIA"
"IIT Roorkee Contact Number, Address & Location Map, Roorkee",+91-1332-285200,aracd@iitr.ac.in,http://www.iitr.ac.in/,Roorkee 247667 Uttarakhand India
"IIT Bombay Contact Number, Address & Location Map, Mumbai",+91-22-25722545,nandk@chem.iitb.ac.in,http://www.iitb.ac.in/,"IIT Bombay, Powai, Mumbai 400 076, Maharashtra, India"
