College Name,Contact no,Email,Website,Address
"SBIHM School Of Management, Barasat",+91-7980094571,sbihmbarasat2017@gmail.com,http://www.sbihmit.com,"University Rd, Kajibari, Barasat, Kolkata, West Bengal-700126"
"Institute of Hotel Management (IHM), Mumbai Contact Number, Address & Location Map, Mumbai","(022) 2445 7241/42, 2445 9154",info@ihmctan.edu,http://www.ihmctan.edu/,"Institute of Hotel Management, Catering Technology and Applied Nutrition Veer Savarkar Marg, Dadar (W), Mumbai 400 028."
"Institute of Hotel Management, Catering & Nutrition (IHM), New Delhi Contact Number, Address & Location Map, New Delhi","011-25841411, 011-25840147",ihmpusa@rediffmail.com,http://www.ihmpusa.net,"Pusa, Kapas Hera, Delhi, Delhi, India- 110012"
"International Institute of Hotel Management (IIHM), Bangalore Contact Number, Address & Location Map, Bengaluru",+91-9902885522/+91-8892864965 / +91-9591000011,admin.bangalore@iihm.ac.in,https://www.iihm.ac.in/bangalore-campus/,"874/A Krishna Temple Road HAL 2nd Stage, Indiranagar, Bangalore"
"Army Institute of Hotel Management and Catering Technology (AIHMCT), Bangalore Contact Number, Address & Location Map, Bengaluru",+91-9036046807,principal@aihmctbangalore.com,http://aihmctbangalore.com/,"Army Institute of Hotel Management & Catering TechnologyrnKothanur Post, Nagareshwara, NagenahallirnBangalore-560077, Karnataka, India"
"Institute of Hotel Management Catering Technology & Applied Nutrition (IHMCTAN), Kolkata Contact Number, Address & Location Map, Kolkata",+91 33 2401 4124 / 4218,mail@ihmkolkata.org,http://www.ihmkolkata.org/,"P - 16, Taratala Road, Taratala, Kolkata, West Bengal, India- 700088"
"International Institute of Hotel Management (IIHM), Kolkata Contact Number, Address & Location Map, Kolkata","+91-33 - 23577663/64, 23574386/87",admin@iihm.ac.in,http://www.iihm.ac.in,"X-1, 8/3, Block-EP, Sector u2013V, Salt Lake Electronics complex, Kolkata-700091"
"WGSHA Manipal Contact Number, Address & Location Map, Manipal",+91-820-2571101,admissions@manipal.edu,http://manipal.edu/wgsha,"opposite Kasturba Medical College, Madhav Nagar, Manipal, Karnataka, India- 576104"
"Subhas Bose Institute of Hotel Management Contact Number, Address & Location Map, Kolkata",+91-?09831100773,sbihmadmission@sbihm.com,http://www.sbihm.com,"﻿ Newtown, Action Area I, Jatragachhi, Kolkata, West Bengal-700161"
"Institute of Hotel Management (IHM), Bangalore Contact Number, Address & Location Map, Bengaluru",91-80-2226 2960,ihmbengaluru@gmail.com,http://www.ihmbangalore.kar.nic.in/,"Institute of Hotel Management, S.J. Polytechnic Campus, Seshadri Road, Bangalore 560 001,India"
